"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Randy Arozarena","STL","19","23","1","4","2","2","8.7%","17.4%",".200",".333",".300",".391",".500",".380","","139","-0.1","1.1","0.6","0.2","19290"
"Renato Nunez","BAL","151","599","31","72","90","1","7.3%","23.9%",".216",".272",".244",".311",".460",".323",".332","99","0.3","-0.8","-18.4","0.2","14503"
"Stephen Strasburg","WSN","34","80","1","4","10","0","3.8%","31.3%",".056",".239",".167",".200",".222",".186","","6","0.0","-9.9","9.8","0.2","10131"
"Luis Guillorme","NYM","45","70","1","8","3","0","10.0%","20.0%",".115",".304",".246",".324",".361",".299","","88","0.2","-0.9","1.1","0.2","16451"
"Domingo Leyba","ARI","21","30","0","6","5","0","13.3%","30.0%",".160",".412",".280",".367",".440",".340","","107","0.5","0.8","0.7","0.2","16404"
"Taylor Clarke","ARI","23","25","1","2","2","0","0.0%","40.0%",".125",".385",".250",".250",".375",".262","","56","0.0","-1.5","3.1","0.2","17611"
"Willie Calhoun","TEX","83","337","21","51","48","0","6.8%","15.7%",".256",".262",".269",".323",".524",".351","","110","-2.2","2.3","-12.2","0.2","17838"
"Michael Hermosillo","LAA","18","46","0","7","3","2","10.9%","41.3%",".083",".278",".139",".304",".222",".254","","53","1.1","-1.7","2.2","0.2","16285"
"Tyler Austin","- - -","89","179","9","30","24","2","13.4%","37.4%",".221",".253",".188",".296",".409",".298","","84","3.3","-0.4","-3.2","0.2","11850"
"Ronny Rodriguez","DET","84","294","14","29","43","3","4.4%","27.9%",".217",".254",".221",".252",".438",".283","","73","1.6","-8.6","0.1","0.2","11875"
"Matt Beaty","LAD","99","268","9","36","46","5","6.3%","12.3%",".193",".275",".265",".317",".458",".324",".315","101","0.1","0.4","-6.9","0.2","17710"
"John Ryan Murphy","- - -","26","70","4","9","7","0","8.6%","40.0%",".238",".226",".175",".246",".413",".276",".278","65","0.7","-2.6","2.4","0.2","10346"
